#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Down","Jay Sean,Lil Wayne",66,10B,68,2011-02-06,03:32,0,"rap, hip hop","Down",2009-01-01,65,1,0,70,0,0,-5,D Major,4,5j0OkRN4KRzVeSfY63buDe,USCM50900094,no
2,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2023-03-20,03:21,85,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132,no
3,"Blow","Kesha",120,10A,73,2023-03-23,03:39,83,"","Cannibal (Expanded Edition)",2010-11-19,75,0,0,81,0,0,-4,B Minor,4,3pYDZTJM2tVBUhIRifWVzI,USRC11000889,no
4,"F**kin' Perfect - Radio Edit","P!nk",92,9B,65,2023-03-22,03:33,75,"","F**kin' Perfect (Radio Edit)",2010-12-15,56,4,0,50,0,30,-5,G Major,4,3ueoTboomKEQpI3r9z47Kg,USLF21000103,no
5,"Big Girls Don't Cry (Personal)","Fergie",113,9B,64,2023-03-22,04:28,76,"","The Dutchess",2006-09-13,71,20,0,25,0,0,-4,G Major,4,6dgWWAs5yhWPOtvE1zuoQ1,USUM70609115,no
6,"No One","Alicia Keys",90,12A,55,2023-03-22,04:13,74,"r&b, neo soul","As I Am (Expanded Edition)",2007-11-09,64,2,0,17,0,10,-5,C♯/D♭ Minor,4,6IwKcFdiRQZOWeYNhUiWIv,USJAY0700190,no
7,"Your Love Is My Drug","Kesha",120,3B,61,2023-03-22,03:07,80,"","Animal (Expanded Edition)",2010-01-01,83,1,0,76,10,0,-4,C♯/D♭ Major,4,6vc2Jq2vaGu8z326kSrw92,USRC10900735,no
8,"Can't Be Tamed","Miley Cyrus",117,10A,91,2023-03-23,02:48,67,"","Can't Be Tamed",2010-06-18,63,3,0,74,10,20,-3,B Minor,4,2r6DdaSbkbwoPzuK6NjLPn,USHR11024938,no
9,"In My Head","Jason Derulo",110,5A,75,2023-03-22,03:19,75,"","Jason Derulo (International)",2010-02-24,76,3,0,85,0,30,-4,C Minor,4,6St9lR6dhV2tpCNVz7qfrS,USWB10904633,no
10,"We Can't Stop","Miley Cyrus",80,12A,62,2023-03-22,03:51,84,"","Bangerz (Deluxe Version)",2013-10-04,61,1,0,48,0,30,-6,C♯/D♭ Minor,4,2y4lAQpi5VTNLu2ldeTdUH,USRC11300686,no
11,"Drive By","Train",122,12A,84,2023-03-22,03:15,83,"soft pop","California 37",2012-04-17,77,0,0,72,0,0,-3,C♯/D♭ Minor,4,0KAiuUOrLTIkzkpfpn9jb9,USSM11106876,no
12,"Shut Up and Dance","WALK THE MOON",128,3B,87,2023-03-22,03:19,89,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949,no
13,"Hey, Soul Sister","Train",97,12A,89,2023-03-22,03:36,86,"soft pop","Save Me, San Francisco (Golden Gate Edition)",2010-12-01,67,19,0,80,0,0,-4,C♯/D♭ Minor,4,4HlFJV71xXKIGcU3kRyttv,USSM10904113,no
14,"Dancing’s Done","Ava Max",114,12A,87,2023-03-23,02:46,59,"","Diamonds & Dancefloors",2023-01-27,57,6,0,18,0,10,-4,C♯/D♭ Minor,4,2wqxcctWptasX4VnP2sRvV,USAT22206831,no
15,"WOW (feat. ÁSDÍS)","Toby Romeo,Keanu Silva,IZKO,ÁSDÍS",126,3A,81,2023-03-22,02:23,55,"future house, slap house, ","WOW (feat. ÁSDÍS)",2022-09-30,71,3,0,56,10,0,-5,A#/B♭ Minor,4,318quSv1UJeamoAkEDjAuY,DEUM72205955,no
16,"Time of Dying","Three Days Grace",198,5A,87,2023-03-23,03:06,72,"post-grunge, rock","One-X",2006-06-13,31,0,0,45,0,50,-4,C Minor,4,6gPd6brcBXlbGdy1obe234,USJI10600165,no
17,"Savior","Rise Against",112,4A,93,2023-03-23,04:02,81,"punk, hardcore punk","Appeal To Reason",2008-01-01,55,0,0,48,0,40,-3,F Minor,4,1vcxF91pWs9uNwDROuiCPB,USUM70832584,no
18,"Ocean Of Tears","Imanbek,DVBBS",121,10B,82,2023-03-22,03:04,48,"slap house, edm, big room, electronica","Ocean Of Tears",2022-08-26,73,11,0,15,0,0,-7,D Major,4,6oJIAZpChGNIEMAecud9SZ,RUB422201923,no
19,"Love Till It's Over (feat. MKLA)","DVBBS,MKLA",123,5A,83,2023-02-09,02:15,42,"edm, big room, electronica, slap house, brazilian bass, stutter house","Love Till It's Over (feat. MKLA)",2022-07-29,56,2,0,8,0,0,-6,C Minor,4,2ZVWUbzdQ2ImZrREws8ZpK,NLZ542201019,no
20,"Ghost Town","VINAI,John De Sohn",122,1A,81,2023-03-23,02:35,36,"melbourne bounce, slap house, big room, ","Ghost Town",2022-10-14,63,17,0,54,0,50,-4,G#/A♭ Minor,4,4PPCWezfTaXfJxvJh3scND,QMDA62212821,no
21,"Side By Side (with MKLA)","Syn Cole,MKLA",124,4A,79,2023-03-22,02:33,36,"tropical house, edm, brazilian bass, stutter house","Side By Side (with MKLA)",2022-07-08,75,2,0,39,0,10,-7,F Minor,4,37107dPB28NderX4Tpbirg,QZUCN2200053,no
22,"Somewhere (with Syn Cole)","Andrah,Syn Cole",108,11A,76,2023-03-22,02:44,29,"tropical house, edm","Somewhere (with Syn Cole)",2022-09-23,72,32,0,53,0,10,-6,F#/G♭ Minor,4,53i9DQqHwjPFzHBIR5T4Q3,NLZ542201944,no
23,"I'm Yours","Jason Mraz",151,1B,44,2023-03-22,04:02,78,"soft pop, acoustic pop","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",2008-05-01,70,56,0,71,0,10,-9,B Major,4,3S0OXQeoh0w6AY8WQVckRW,USEE10800667,no
24,"You're Beautiful","James Blunt",82,5A,48,2023-03-22,03:29,79,"","Back to Bedlam",2005-08-08,68,63,0,45,0,0,-10,C Minor,4,0vg4WnUWvze6pBOJDTq99k,USAT20401588,yes
25,"Wherever You Will Go","The Calling",112,10B,72,2023-03-22,03:28,83,"pop rock","Camino Palmero",2001-00-00,56,4,0,37,0,10,-5,D Major,4,5QpaGzWp0hwB5faV8dkbAz,USRC10001047,no
26,"Torn","Natalie Imbruglia",96,7B,89,2023-03-22,04:04,83,"","Left Of The Middle",1997-11-10,57,6,0,61,0,70,-5,F Major,4,1Jaah2tmN9Hv81A87KZ1MU,GBARL9700412,no
27,"Barcelona Nights","Vicetone",105,4A,76,2023-03-23,03:00,51,"edm","Barcelona Nights",2022-06-17,54,27,0,56,0,10,-3,F Minor,4,17vXZTcVsCJF1NBoaBQjm7,CA6D22200320,no
28,"Kiss Me","Sixpence None The Richer",100,5B,75,2023-03-22,03:28,87,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312,no
29,"Don't Speak","No Doubt",76,4A,71,2023-03-22,04:23,84,"","Tragic Kingdom",1995-10-10,52,25,0,54,0,10,-7,F Minor,4,6urCAbunOQI4bLhmGpX7iS,USIR19500279,no
30,"Believer","Imagine Dragons",125,3A,78,2023-03-22,03:24,89,"","Evolve",2017-06-23,78,6,0,67,10,0,-4,A#/B♭ Minor,4,0pqnGHJpmpxLKifKRmU6WP,USUM71700626,no
31,"Human","Rag'n'Bone Man",75,11B,71,2023-03-22,03:20,82,"","Human (Deluxe)",2017-02-10,60,39,0,55,30,10,-4,A Major,4,58zsLZPvfflaiIbNWoA22O,GBARL1600665,no
32,"Break My Heart","Dua Lipa",113,9A,73,2023-03-23,03:41,84,"pop","Future Nostalgia",2020-03-27,73,17,0,47,0,30,-3,E Minor,4,017PF4Q3l4DBUiWoXk4OWT,GBAHT1901303,no
33,"Every Breath You Take","The Police",117,3B,45,2023-03-22,04:13,94,"","Synchronicity (Remastered 2003)",1983-06-17,82,54,0,74,0,0,-10,C♯/D♭ Major,4,1JSTJqkT5qHq8MDJnJbRE1,GBAAM0201110,no
34,"Uma Thurman","Fall Out Boy",150,9A,96,2023-03-22,03:31,72,"emo, pop punk","American Beauty/American Psycho",2015-01-16,62,10,0,67,0,20,-3,E Minor,4,5PUawWFG1oIS2NwEcyHaCr,USUM71417734,no
35,"Africa","TOTO",93,11B,37,2023-03-22,04:55,91,"yacht rock, soft rock","Toto IV",1982-04-08,67,26,0,73,0,0,-18,A Major,4,2374M0fQpWi3dLnB54qaLX,USSM19801941,no
36,"Follow You","Imagine Dragons",125,11B,73,2023-03-22,02:55,72,"","Mercury - Acts 1 & 2",2022-07-01,54,0,0,45,0,40,-6,A Major,4,0LtkAAEpEp1lkLX1ZvjHZb,USUM72102981,no
37,"Down Under","Men At Work",107,10A,46,2023-03-22,03:42,86,"","Business As Usual",1981-11-09,74,13,2,89,0,0,-14,B Minor,4,3ZZq9396zv8pcn5GYVhxUi,USSM18100411,no
38,"Don't Stop Believin'","Journey",119,12B,75,2023-03-22,04:10,16,"aor, classic rock","Escape (Bonus Track Version)",1981-00-00,50,13,0,51,0,40,-9,E Major,4,4bHsxqR3GMrXTxEPLuK5ue,USSM18100116,no
39,"Radioactive","Imagine Dragons",136,11B,78,2023-03-22,03:06,82,"","Night Visions",2012-09-04,45,10,0,24,0,60,-4,A Major,4,62yJjFtgkhUrXktIoSjgP2,USUM71201074,no
40,"22","Taylor Swift",104,9B,73,2023-03-21,03:52,70,"","Red (Big Machine Radio Release Special)",2012-10-22,66,0,0,67,0,0,-7,G Major,4,6ce41JVa6KFaryfmC2bu2W,USCJY1231040,no
41,"Troublemaker (feat. Flo Rida)","Olly Murs,Flo Rida",106,5A,86,2023-03-21,03:05,78,"","Right Place Right Time (Expanded Edition)",2012-11-26,76,2,0,97,0,10,-4,C Minor,4,6s8nHXTJVqFjXE4yVZPDHR,GBARL1201891,no
42,"One Of Us","Ava Max",145,5A,84,2023-03-22,02:58,57,"","Diamonds & Dancefloors",2023-01-27,62,1,0,51,0,20,-4,C Minor,4,1ItdTDx23yt7tIJOZv5iLQ,USAT22206827,no
43,"Alone Together","Fall Out Boy",90,12B,92,2023-03-22,03:23,61,"emo, pop punk","Save Rock And Roll",2013-04-12,55,0,0,60,0,20,-4,E Major,4,75SixhsPWyRRmtqHeffiXr,USUM71302625,no
44,"Weapons","Ava Max",170,3B,85,2023-03-22,02:31,55,"","Diamonds & Dancefloors",2023-01-27,51,2,0,27,0,0,-4,C♯/D♭ Major,4,4QXww31EdLcenZiRqnTZeg,USAT22206823,no
45,"Ghost of You","Mimi Webb",126,5B,81,2023-03-22,02:37,52,"","Amelia",2023-03-02,73,7,0,69,0,0,-6,D#/E♭ Major,4,5ySoOwG5fVP66yB597Jiqc,USSM12207379,no
46,"Forget Me","Lewis Capaldi",204,12A,75,2023-03-22,03:23,4,"soft pop","Forget Me",2022-09-09,44,26,0,69,0,30,-4,C♯/D♭ Minor,4,5uSFGgIfHMT3osrAd9n9ym,DEUM72204717,no
47,"Adventure of a Lifetime","Coldplay",112,9B,92,2023-03-21,04:23,89,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981,no
48,"Can't Feel My Face","The Weeknd",108,8A,77,2023-03-21,03:33,86,"","Beauty Behind The Madness",2015-08-28,71,11,0,58,0,10,-6,A Minor,4,22VdIZQfgXJea34mQxlt81,USUG11500741,no
49,"Million Dollar Baby","Ava Max",133,7A,85,2023-03-21,03:04,64,"","Diamonds & Dancefloors",2023-01-27,65,3,0,64,0,30,-2,D Minor,4,3wFM8TWbbkwPuB6TyqpVDv,USAT22206818,no
50,"PIECES","Elley Duhé",147,2A,70,2023-03-23,02:46,1,"","PIECES",2022-06-24,49,8,0,52,0,10,-7,D#/E♭ Minor,4,07IMjyn9gW77cR7APem5g6,QZLBC2200325,no
51,"STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",142,7A,72,2023-03-22,03:30,72,"","STAR WALKIN' (League of Legends Worlds Anthem)",2022-09-22,64,15,0,31,0,0,-5,D Minor,4,38T0tPVZHcPZyhtOcCP7pF,USSM12208809,yes
52,"Let It Die","Ellie Goulding",120,7A,87,2023-03-22,02:46,41,"","Let It Die",2022-10-19,63,41,0,68,20,0,-5,D Minor,4,3Mpz9tU5tLEkYKDMUOi067,GBUM72204426,no
53,"Heart Wants What It Wants","Bebe Rexha",128,8B,63,2023-03-22,03:02,45,"","Heart Wants What It Wants",2023-02-17,68,1,0,68,0,0,-5,C Major,4,7rS4oy2qpJNULQAVgJQTun,USWB12207791,no
54,"River","Miley Cyrus",128,11B,80,2023-03-22,02:42,1,"","Endless Summer Vacation",2023-03-10,61,0,0,46,0,10,-5,A Major,4,04CqLjewJiSAqM210vZAmT,USSM12209783,no
55,"Addicted To You","Avicii",128,12A,79,2023-03-23,02:28,76,"edm","True",2013-09-16,57,5,0,30,0,0,-4,C♯/D♭ Minor,4,4eDYMhIin1pSLIG96f1aD0,CH3131340085,no
56,"Lottery (feat. LU KALA)","Latto,LU KALA",114,3B,87,2023-03-22,03:06,59,"","Lottery (feat. LU KALA)",2023-02-17,79,2,0,93,0,0,-3,C♯/D♭ Major,4,1JUtrCqYzJ80tcAzMbCvir,USRC12203634,yes
57,"Easy Lover (feat. Big Sean)","Ellie Goulding,Big Sean",106,4A,82,2023-03-22,03:35,50,"","Easy Lover (feat. Big Sean)",2022-07-15,68,1,0,45,0,0,-4,F Minor,4,3nwd2gUT7l10HDUAOKXrhs,GBUM72203930,no
58,"Make You Say","Zedd,Maren Morris,BEAUZ",128,1A,61,2023-03-22,03:26,57,"edm, country, hard techno, techno, hypertechno","Make You Say",2022-08-19,69,35,0,65,0,10,-5,G#/A♭ Minor,4,1elhmWW7Bv0MOQj2gAsyoV,USUM72215310,no
59,"Riot","Three Days Grace",197,4B,95,2023-03-22,03:27,70,"post-grunge, rock","One-X",2006-06-13,19,1,0,32,10,10,-4,G#/A♭ Major,3,5eALoO9RRACvoxvLKF9zt4,USJI10600162,yes
60,"Faint","Linkin Park",135,12B,98,2023-03-22,02:42,88,"nu metal, rap metal, rock, alternative metal","Meteora",2003-03-25,55,13,0,61,10,0,-4,E Major,4,4Yf5bqU3NK4kNOypcrLYwU,USWB10300468,no
61,"Toxicity","System Of A Down",117,4B,87,2023-03-22,03:38,88,"nu metal, metal, alternative metal, rap metal, rock","Toxicity",2001-09-04,41,0,0,48,0,20,-4,G#/A♭ Major,3,0snQkGI5qnAmohLE7jTsTn,USSM10107262,no
62,"One Step Closer","Linkin Park",95,11B,97,2023-03-22,02:37,86,"nu metal, rap metal, rock, alternative metal","Hybrid Theory (Bonus Edition)",2000-10-24,49,0,0,54,0,0,-4,A Major,4,3K4HG9evC7dg3N0R9cYqk4,USWB10002399,no
63,"Maybe You’re The Problem","Ava Max",166,11B,84,2023-03-21,03:10,68,"","Diamonds & Dancefloors",2023-01-27,53,4,0,45,10,0,-4,A Major,4,6WDG2ybdV3SBXV0lwBGu4D,USAT22203651,no
64,"she's all i wanna be","Tate McRae",160,7A,63,2023-03-21,03:27,78,"","i used to think i could fly",2022-05-27,60,1,0,62,0,10,-5,D Minor,4,7l9IqDtVWJurTvkQHq1BGh,USRC12103120,no
65,"Undead","Hollywood Undead",163,7A,94,2023-03-22,04:25,72,"rap rock, rap metal","Swan Songs",2008-09-02,51,1,0,49,10,20,-5,D Minor,4,5wBLDkxVvclanSitx5jq8e,USUM70826489,yes
66,"Aerials","System Of A Down",79,5A,92,2023-03-23,03:55,86,"nu metal, metal, alternative metal, rap metal, rock","Toxicity",2001-09-04,36,0,3,23,0,0,-4,C Minor,4,4e9eGQYsOiBcftrWXwsVco,USSM10107264,no
67,"House On Fire","Mimi Webb",75,10B,75,2023-03-21,02:19,54,"","Amelia",2023-03-02,59,3,0,46,10,20,-4,D Major,4,0Le4FRrPfbFzpyy8SsaCLf,USSM12109778,no
68,"abcdefu","GAYLE",122,12B,54,2023-03-21,02:48,77,"","abcdefu",2021-08-13,70,30,0,42,0,30,-6,E Major,4,4fouWK6XVHhzl78KzQ1UjL,USAT22103652,yes
69,"Sharks","Imagine Dragons",124,3A,64,2023-03-21,03:10,76,"","Mercury - Acts 1 & 2",2022-07-01,93,1,0,90,0,20,-4,A#/B♭ Minor,4,7sA2SKTo1QbTSSYn5YvJC4,USUM72205464,no
70,"Shut Up And Drive","Rihanna",133,3B,83,2023-03-22,03:32,76,"","Good Girl Gone Bad: Reloaded",2008-06-02,73,0,13,74,0,20,-5,C♯/D♭ Major,4,4Tn2llBm1g0UlWctmgPL8Z,USUM70734703,no
71,"Pocketful of Sunshine","Natasha Bedingfield",110,8A,88,2023-03-22,03:22,86,"","Pocketful Of Sunshine",2007-04-27,72,19,0,66,0,0,-4,A Minor,4,1uigwk5hNV84zRd5YQQRTk,GBARL0701374,no
72,"West Coast","OneRepublic",134,11A,70,2023-03-21,03:12,61,"soft pop","West Coast",2022-02-25,69,32,0,88,0,0,-8,F#/G♭ Minor,4,0sBJA2OCEECMs0HsdIQhvR,USUM72202540,no
73,"Words (feat. Zara Larsson)","Alesso,Zara Larsson",124,3A,59,2023-03-21,02:22,75,"edm, ","Words (feat. Zara Larsson)",2022-04-22,74,2,0,44,0,30,-5,A#/B♭ Minor,4,1bgKMxPQU7JIZEhNsM1vFs,USUG12202336,no
74,"Hopeless Heart","Keanu Silva,Toby Romeo,SACHA",124,4A,84,2023-03-22,02:31,58,"future house, ","Hopeless Heart",2022-01-21,73,18,0,41,0,10,-5,F Minor,4,2tJ4fnUrG5v7OmYVGq7sw8,DEUM72119797,no
75,"Can't Tame Her","Zara Larsson",182,11A,92,2023-03-21,03:16,65,"","Can't Tame Her",2023-01-26,58,1,0,57,10,10,-3,F#/G♭ Minor,4,4vOoQh9MhS9pyrbvc8LyMz,USSM12210918,no
76,"You Only Love Me","Rita Ora",110,9B,74,2023-03-21,02:28,0,"","You Only Love Me",2023-01-27,66,25,0,38,0,30,-5,G Major,4,5FHPvs8RxWBQXP2Rq9I2B2,GB5KW2205645,no
77,"Radio","Sigala,MNEK",126,6A,87,2023-03-21,03:15,43,"","Every Cloud - Silver Linings",2023-03-02,74,4,0,87,0,10,-5,G Minor,4,6zsFddikwwAfBr3USkYSDx,GBCEN2200161,no
78,"MIDDLE OF THE NIGHT","Elley Duhé",186,9A,61,2023-03-21,03:04,77,"","MIDDLE OF THE NIGHT",2020-01-10,41,2,0,9,0,10,-8,E Minor,3,58HvfVOeJY7lUuCqF0m3ly,USRC11903813,no
79,"Rude Boy","Rihanna",174,1B,75,2023-03-21,03:42,82,"","Rated R",2009-11-20,56,11,0,81,10,0,-4,B Major,4,60jzFy6Nn4M0iD1d94oteF,USUM70912459,yes
80,"Side To Side","Ariana Grande,Nicki Minaj",159,11A,74,2023-03-23,03:46,85,"pop, ","Dangerous Woman",2016-04-01,65,5,0,61,20,20,-6,F#/G♭ Minor,4,44ONERBHALxftQNWq6dmyd,USUM71602107,yes
81,"Lay Low","Tiësto",122,12A,88,2023-03-21,02:33,73,"edm, trance, big room","Lay Low",2023-01-06,56,6,0,42,20,30,-4,C♯/D♭ Minor,4,0zKbDrEXKpnExhGQRe9dxt,NLZ542202348,no
82,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",124,8A,86,2023-03-21,03:34,83,"edm, pop","One Kiss (with Dua Lipa)",2018-04-06,79,4,0,59,10,0,-3,A Minor,4,7ef4DlsgrMEH11cDZd32M6,GBARL1800368,no
83,"I Like Me Better","LAUV",92,11B,51,2023-03-21,03:17,6,"","I met you when I was 18. (the playlist)",2018-05-31,75,53,0,42,20,10,-8,A Major,4,0EcQcdcbQeVJn9fknj44Be,GBWWP1702907,no
84,"Happier","Marshmello,Bastille",100,7B,79,2023-03-22,03:34,13,"edm, ","Happier",2018-08-17,69,19,0,67,0,10,-3,F Major,4,2dpaYNEQHiRxtZbfNsse99,USUG11801651,no
85,"Everybody Talks","Neon Trees",155,4B,92,2023-03-23,02:57,84,"","Picture Show",2012-01-01,47,0,0,72,0,30,-4,G#/A♭ Major,4,2iUmqdfGZcHIhS3b9E9EWq,USUM71119189,yes
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",90,10B,52,2023-03-22,02:37,86,"","Hollywood's Bleeding",2019-09-06,76,53,0,93,0,0,-4,D Major,4,0RiRZpuVRbi7oqRdSMwhQY,USUM71814888,no
87,"Close To Me","Ellie Goulding,Diplo,Swae Lee",144,12A,75,2023-03-22,03:02,78,"moombahton, ","Brightest Blue",2020-07-17,57,9,0,48,0,30,-5,C♯/D♭ Minor,4,2GjMaJ7DacMIkgoe8oMXGg,GBUM71805350,yes
88,"positions","Ariana Grande",144,8B,80,2023-03-23,02:52,84,"pop","Positions",2020-10-30,74,47,0,68,0,0,-5,C Major,4,35mvY5S1H3J2QZyna3TFe0,USUM72019412,yes
89,"Jackie Chan","Tiësto,Dzeko,Preme,Post Malone",128,2A,83,2023-03-22,03:35,69,"edm, trance, big room, ","The London Sessions",2020-05-15,75,37,0,69,0,0,-3,D#/E♭ Minor,4,4vvnuJlgBeNVwq3TNmLMNX,CYA111800123,yes
90,"I Like You (A Happier Song) (with Doja Cat)","Post Malone,Doja Cat",101,7B,67,2023-03-23,03:12,79,"","Twelve Carat Toothache",2022-06-03,73,12,0,47,0,10,-6,F Major,4,0O6u0VJ46W86TxN9wgyqDj,USUM72208023,yes
91,"10:35","Tiësto,Tate McRae",120,4B,79,2023-03-21,02:52,73,"edm, trance, big room, ","10:35",2022-11-03,70,7,0,70,10,10,-6,G#/A♭ Major,4,6BePGk3eCan4FqaW2X8Qy3,CYA112001130,no
92,"Bones","Imagine Dragons",114,4A,75,2023-03-21,02:45,83,"","Mercury - Acts 1 & 2",2022-07-01,77,2,0,59,0,0,-4,F Minor,4,54ipXppHLA8U4yqpOFTUhr,USUM72201759,no
93,"Here's to Never Growing Up","Avril Lavigne",165,8B,87,2023-03-22,03:34,70,"","Avril Lavigne (Expanded Edition)",2013-11-01,48,1,0,74,0,40,-3,C Major,4,0qwcGscxUHGZTgq0zcaqk1,USSM11300965,yes
94,"Still into You","Paramore",136,7B,92,2023-03-22,03:36,86,"pop punk, emo","Paramore",2013-04-05,60,1,0,77,0,0,-4,F Major,4,1yjY7rpaAQvKwpdUliHx0d,USAT21300012,no
95,"Unstoppable","Sia",174,11B,78,2023-03-21,03:37,83,"","This Is Acting",2016-01-29,47,11,0,26,0,10,-5,A Major,4,2J2Z1SkXYghSajLibnQHOa,USRC11502934,no
96,"Bad Liar","Imagine Dragons",89,5B,64,2023-03-21,04:20,84,"","Origins (Deluxe)",2018-11-09,31,7,0,8,0,30,-7,D#/E♭ Major,4,2RSHsoi04658QL5xgQVov3,USUM71816161,no
97,"Be Kind (with Halsey)","Marshmello,Halsey",94,12B,63,2023-03-22,02:52,74,"edm, ","Be Kind (with Halsey)",2020-05-01,63,1,0,45,0,0,-7,E Major,4,3Z8FwOEN59mRMxDCtb8N0A,USUG12001567,no
98,"Graveyard","Halsey",92,10A,58,2023-03-22,03:01,65,"","Manic",2020-01-17,67,23,0,19,0,10,-5,B Minor,4,2ufmtcIFdFpuUYBPXK5f67,USUM71917563,no
99,"Beautiful People (feat. Khalid)","Ed Sheeran,Khalid",93,4A,65,2023-03-22,03:17,76,"soft pop, ","No.6 Collaborations Project",2019-07-12,64,12,0,55,10,0,-8,F Minor,4,70eFcWOvlMObDhURTqT4Fv,GBAHS1900885,no
100,"Move Along","The All-American Rejects",110,5B,92,2023-03-23,03:58,77,"pop punk, emo","Move Along",2005-07-12,53,0,0,62,0,30,-4,D#/E♭ Major,4,58HpsDKeYoLtNhXFQyQmz5,USDW10500125,no
101,"Try Everything","Shakira",115,3B,61,2023-03-21,03:16,78,"latin pop","Zootopia (Original Motion Picture Soundtrack)",2016-02-12,71,3,0,48,0,0,-5,C♯/D♭ Major,4,1N3dZ7TTWO6VcD4Y3hHYLZ,USWD11575402,no
102,"Kings & Queens","Ava Max",130,12A,69,2023-03-21,02:42,84,"","Heaven & Hell",2020-09-18,64,1,0,46,0,10,-4,C♯/D♭ Minor,4,7a53HqqArd4b9NF4XAmlbI,USAT21906943,no
103,"Love Again","Dua Lipa",116,10A,67,2023-03-21,04:18,82,"pop","Future Nostalgia",2020-03-27,66,0,0,47,0,10,-5,B Minor,4,4rPkN1FMzQyFNP9cLUGIIB,GBAHT1901302,no
104,"Secrets","OneRepublic",148,10B,76,2023-03-21,03:44,79,"soft pop","Waking Up",2009-01-01,52,7,0,38,0,10,-6,D Major,4,1NhPKVLsHhFUHIOZ32QnS2,USUM70985644,no
105,"Bloody Mary","Lady Gaga",100,8A,63,2023-03-21,04:04,77,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449,no
106,"Flowers","Miley Cyrus",118,8B,69,2023-03-21,03:20,6,"","Endless Summer Vacation",2023-03-10,71,6,0,63,0,0,-5,C Major,4,4DHcnVTT87F0zZhRPYmZ3B,USSM12209777,no
107,"Apologize","Timbaland,OneRepublic",118,4B,60,2023-03-21,03:04,81,"soft pop","Shock Value",2007-01-01,66,4,0,8,0,10,-6,G#/A♭ Major,4,6q3zC9dDD4lUNk8nfUztXy,USUM70722793,no
108,"For the First Time","The Script",174,11B,63,2023-03-21,04:12,72,"","Science & Faith",2010-09-13,39,3,0,38,0,10,-5,A Major,4,49kjlZP49LMD1MrrcvXDET,GBARL1000776,yes
109,"C'Mon","Kesha",126,12A,78,2023-03-22,03:34,65,"","Warrior (Expanded Edition)",2012-11-30,56,1,0,29,10,10,-5,C♯/D♭ Minor,4,4bO6IzKXMWhmncfIO9GBq2,USRC11201135,no
110,"Your Body","Christina Aguilera",103,1A,78,2023-03-22,04:00,59,"","Lotus (Deluxe Version)",2012-11-09,59,0,0,56,0,20,-5,G#/A♭ Minor,4,2pmtavvgqZN52EePYxutgk,USRC11200994,no
111,"Never Close Our Eyes","Adam Lambert",135,5B,81,2023-03-22,04:08,49,"","Trespassing (Deluxe Version)",2012-05-08,52,16,0,61,0,70,-5,D#/E♭ Major,4,3GDX2vk9Omok7DDvg7vOpq,GBCTA1200088,no
112,"I Ain't Worried","OneRepublic",140,8B,80,2023-03-21,02:28,84,"soft pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,70,8,0,83,0,0,-6,C Major,4,4h9wh7iOZ0GGn8QVp4RAOB,USUM72206227,no
113,"Just One Yesterday","Fall Out Boy,Foxes",105,11A,91,2023-03-21,04:04,63,"emo, pop punk, ","Save Rock And Roll",2013-04-12,51,4,0,59,0,20,-3,F#/G♭ Minor,4,5OMCffelD9cnJCgG3xnHzU,USUM71302630,no
114,"Welcome to the Black Parade","My Chemical Romance",97,10B,91,2023-03-21,05:11,83,"emo, pop punk","The Black Parade",2006-10-20,22,0,0,24,0,20,-4,D Major,4,5wQnmLuC1W7ATsArWACrgW,USRE10602613,no
115,"The Great Escape","BOYS LIKE GIRLS",150,12A,94,2023-03-21,03:26,47,"pop punk, emo","Boys Like Girls",2006-08-22,42,0,0,51,0,10,-4,C♯/D♭ Minor,4,4j2Z0fivH9kDUhqG69Z3Aa,USSM10603069,no
116,"Love Drunk","BOYS LIKE GIRLS",150,6B,98,2023-03-21,03:46,66,"pop punk, emo","Love Drunk",2009-09-07,44,0,0,41,10,10,-3,A#/B♭ Major,4,20X9OeC606XNwEtDBOym5u,USSM10903442,yes
