#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
356,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,64,2023-03-20,04:07,90,"","Memories...Do Not Open",2017-04-07,62,5,0,45,0,10,-7,B Minor,4,6RUKPb4LETWmmr3iAEQktW,USQX91700278,no
357,"Hymn for the Weekend","Coldplay",90,5A,69,2023-03-20,04:18,86,"","A Head Full of Dreams",2015-12-04,49,21,0,41,0,30,-6,C Minor,4,3RiPr603aXAoi4GHyXx0uy,GBAYE1500979,no
358,"Maps","Maroon 5",120,12A,71,2023-03-20,03:09,87,"pop","V",2014-09-02,74,2,0,88,0,0,-6,C♯/D♭ Minor,4,4gbVRS8gloEluzf0GzDOFc,USUM71407116,no
359,"A Sky Full of Stars","Coldplay",125,2B,68,2023-03-20,04:27,89,"","Ghost Stories",2014-05-16,55,1,0,16,0,20,-6,F#/G♭ Major,4,0FDzzruyVECATHXKHFs9eJ,GBAYE1400217,no
360,"On Top Of The World","Imagine Dragons",100,8B,92,2023-03-20,03:12,78,"","Night Visions",2012-09-04,63,8,0,76,10,0,-6,C Major,4,213x4gsFDm04hSqIUkg88w,USUM71201073,no
361,"Viva La Vida","Coldplay",138,4A,62,2023-03-20,04:02,90,"","Viva La Vida or Death and All His Friends",2008-06-06,49,10,0,42,0,10,-7,F Minor,4,1mea3bSkSGXuIRvnydlB5b,GBAYE0800265,no
362,"Walks Like Rihanna","The Wanted",126,7B,82,2023-03-20,03:22,58,"","Word Of Mouth (Deluxe)",2013-01-01,56,1,0,43,0,10,-3,F Major,4,4i1yHB5Q9PhtWlWCplG3u5,GBUM71302670,no
363,"Me And My Broken Heart","Rixton",174,4A,78,2023-03-20,03:13,78,"","Let The Road",2014-01-01,55,0,0,55,0,10,-4,F Minor,4,1oew3nFNY3vMacJAsvry0S,USUM71401800,no
364,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes,Adam Levine",90,11B,80,2023-03-20,03:30,88,"","The Papercut Chronicles II",2011-11-11,65,3,0,80,10,20,-3,A Major,4,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071,no
365,"Give Me Everything (feat. Nayer)","Pitbull,AFROJACK,Ne-Yo,Nayer",129,4B,94,2023-03-20,04:12,92,"edm, big room, ","Planet Pit (Deluxe Version)",2011-06-17,67,19,0,53,10,30,-3,G#/A♭ Major,4,4QNpBfC0zvjKqPJcyqBy9W,USJAY1100032,no
366,"On The Floor","Jennifer Lopez,Pitbull",130,2A,78,2023-03-20,04:44,93,"","Love?",2011-04-29,73,11,0,57,0,0,-5,D#/E♭ Minor,4,3C0nOe05EIt1390bVABLyN,USUM71104034,no
367,"International Love (feat. Chris Brown)","Pitbull,Chris Brown",120,5A,86,2023-03-20,03:47,85,"r&b","Planet Pit (Deluxe Version)",2011-06-17,67,1,0,65,0,30,-3,C Minor,4,62zFEHfAYl5kdHYOivj4BC,USJAY1100015,no
368,"Five More Hours","Deorro,Chris Brown",128,4A,88,2023-03-20,03:31,75,"melbourne bounce, electro house, r&b","Good Evening",2017-03-31,70,3,0,50,20,80,-3,F Minor,4,3MOECVkNshqHYTPt5DZcdN,USUS11203275,no
